№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
118,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 68 Калининского района Санкт-Петербурга,"195267, Санкт-Петерург, улица Ушинского, дом 33, корпус 2, литер А",2011-03-14,78А01 № 0000275,78А01 № 0000339,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"782-р, 26.03.2012; 2420-р, 15.05.2015",,1027802497250,7804094058
119,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 69 Калининского района Санкт-Петербурга,"195276, Санкт-Петербург, проспект Культуры, дом 27, корп.3, литер А",2012-03-14,78А01 № 0000469,78А01 № 0000544,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4952-р, 08.10.2015",,1027802496809,7804137720
120,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 71 Калининского района Санкт-Петербурга,"195257, Санкт-Петербург, улица Вавиловых, дом 5, корпус 5, литер А",2012-03-28,78А01 № 0000481,78А01 № 0000556,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"815-р, 28.03.2012, 4979-р, 09.10.2015",,1027802496523,7804137520
121,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 72 с углубленным изучением немецкого языка Калининского района Санкт-Петербурга,"195267, Санкт-Петербург, ул. Ушинского, д. 21, литер А",2013-03-15,78А01 № 0000200,78А01 № 0000253,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1457-р, 02.04.2015",,1027802497260,7804099200
122,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 78 Калининского района Санкт-Петербурга,"195249, Санкт-Петербург, улица Софьи Ковалевской, дом 8, корп. 3, литер А",2012-03-14,78А01 № 0000497,78А01 № 0000576,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1831-р, 22.06.2012; 5095-р, 20.10.2015",,1027802496919,7804135875
123,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 79 Калининского района Санкт-Петербурга,"195269, Санкт-Петербург, ул. Брянцева д.10, литер А",2013-03-15,78А01 № 0000505,78А01 № 0000585,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5109-р, 21.10.2015",,1027802496590,7804139735
124,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 81 Калининского района Санкт-Петербурга,"195276, Санкт-Петербург, ул. Демьяна Бедного, дом 22, корп. 5, лит. А",2013-03-15,78А01 № 0000251,78А01 № 0000308,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2137-р, 30.04.2015",,1027802499207,7804138996
125,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 88 Калининского района Санкт-Петербурга,"195252, Санкт-Петербург, пр.Науки, д. 30, к. 3, литер А",2012-02-17,78А01 № 0000262,78А01 № 0000319,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2253-р, 12.05.2015",,1027802499185,7804142960
126,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 89 Калининского района Санкт-Петербурга,"195265, Санкт-Петербург, ул. Черкасова, д. 8, корп. 2, литер А",2011-03-14,78А01 № 0000259,78А01 № 0000316,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"511-р, 21.02.2012; 2252-р, 12.05.2015",,1027802496810,7804132874
127,Государственное бюджетное общеобразовательное учреждение лицей № 95 Калининского района Санкт-Петербурга,"195256, город Санкт-Петербург, улица Верности, дом 14 корпус 4 литера А",2014-01-17,78А01 № 0001088,78А01 № 0001126,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2225-р, 14.11.2022",,1027802499141,7804139140
128,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 96 Калининского района Санкт-Петербурга,"195265, Санкт-Петербург, улица Черкасова, дом 15",2013-03-15,78А01 № 0000478,78А01 № 0000553,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4978-р, 09.10.2015",,1027802499372,7804090977
129,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 98 с углубленным изучением английского языка Калининского района Санкт-Петербурга,"195257, Санкт-Петербург, Гражданский проспект, дом 92, корпус 3, литер А",2012-03-26,78А01 № 0000470,78А01 № 0000545,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4950-р, 08.10.2015",,1027802496842,7804054513
130,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 111 с углубленным изучением немецкого языка Калининского района Санкт-Петербурга,"195220, Санкт-Петербург, улица Фаворского, дом 16, литер А",2015-02-11,78А01 № 0000093,78А01 № 0000147,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802496578,7804139460
131,Государственное бюджетное общеобразовательное учреждение Гимназия № 196 Красногвардейского района Санкт-Петербурга,"195279, Санкт-Петербург, Ударников пр., д. 31, литер А",2011-02-17,78А01 № 0000392,78А01 № 0000463,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1234-р, 03.05.2012; 3715-р, 31.07.2015",,1027804194109,7806057742
132,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 121 Калининского района,"195256, Санкт-Петербург, проспект Науки, дом 16, корпус 2, литер А",2012-02-17,78А01 № 0000709,78А01 № 0000694,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"259-р, 01.02.2016",,1027802499020,7804138474
133,Государственное бюджетное общеобразовательное учреждение Лицей № 126 Калининского района Санкт-Петербурга,"195197, Санкт-Петербург, улица Федосеенко, дом 28, литер А",2014-06-02,78А01 № 0000001,78А01 № 0000001,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802499383,7804137015
134,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 128 Калининского района Санкт-Петербурга,"195297, Санкт-Петербург, улица Ольги Форш, дом 17, литер А",2015-02-11,78А01 № 0000089,78А01 № 0000143,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802496930,7804088390
135,Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 132 Санкт-Петербурга,"195160, Санкт-Петербург, Свердловская наб., д.36, лит.А",2013-04-26,78А01 № 0000772,78А01 № 0000778,Бессрочно,Основное общее образование,"3497-р, 05.12.2016",,1027802516720,7804107187
136,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 113 с углубленным изучением предметов информационно-технологического профиля Приморского района Санкт-Петербурга,"197342, Санкт-Петербург, Торжковская улица, дом 10, корпус 2, литер А",2013-03-15,78А01 № 0000660,78А01 № 0000640,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"846-р, 07.03.2014; 5666-р, 30.11.2015",,1027807583187,7814103738
137,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 133 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,"195248, Санкт-Петербург, улица Петра Смородина, дом 10, литер А",2013-01-16,78А01 № 0000027,78А01 № 0000075,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"239-р, 27.01.2015",,1037816030966,7806103981
138,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 134 Красногвардейского района Санкт - Петербурга имени Сергея Дудко,"195030, Санкт-Петербург, улица Отечественная, дом 5, литер А",2015-02-27,78А01 № 0000119,78А01 № 0000168,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1037816004335,7806029689
139,Государственное бюджетное общеобразовательное учреждение лицей № 144 Калининского района Санкт-Петербурга,"195297, Санкт-Петербург, Суздальский пр., дом 93, корп. 2, литер А",2014-02-17,78А01 № 0000430,78А01 № 0000437,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802499130,7804140160
140,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 145 Калининского района Санкт-Петербурга,"195064, Санкт-Петербург, проспект Науки, дом 13, корпус 4",2013-03-15,78А01 № 0000479,78А01 № 0000554,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4977-р, 09.10.2015",,1027802521262,7804138202
141,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 146 Калининского района Санкт-Петербурга,"195271, Санкт-Петербург, улица Замшина, дом 31, корпус 2, литер А",2013-03-15,78А01 № 0000480,78А01 № 0000555,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4976-р, 09.10.2015",,1027802497909,7804140603
142,Государственное бюджетное общеобразовательное учреждение гимназия № 148 имени Сервантеса Калининского района Санкт-Петербурга,"195427, Санкт-Петербург, улица Академика Константинова, дом 10, корпус 2, литера А",2014-02-17,78А01 № 0000431,78А01 № 0000438,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802499306,7804089330
143,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 149 Калининского района Санкт-Петербурга,"195265, Санкт-Петербург, ул.Черкасова, д.4, корп.2, литера А",2013-03-15,78А01 № 0000492,78А01 № 0000567,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5030-р, 16.10.2015",,1027802499152,7804087205
144,Государственное бюджетное общеобразовательное учреждение лицей № 150 Калининского района Санкт-Петербурга,"195427, Санкт-Петербург, Светлановский проспект, дом 38, корпус 2, литер А",2014-02-17,78А01 № 0000432,78А01 № 0000439,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802497898,7804143971
145,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 156 с углубленным изучением информатики Калининского района,"195273, Санкт-Петербург, Меншиковский проспект, дом 15, корпус 3, лит. А",2015-02-11,78А01 № 0000087,78А01 № 0000141,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802499339,7804142047
146,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 158 Калининского района Санкт-Петербурга,"195427, Санкт-Петербург, Светлановский проспект, дом 40, корпус 3, литер А",2013-03-15,78А01 № 0000261,78А01 № 0000318,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2246-р, 12.05.2015",,1027802499120,7804093791
147,"Государственное бюджетное общеобразовательное учреждение гимназия № 159 ""Бестужевская"" Калининского района Санкт-Петербурга","195271, Санкт-Петербург, проспект Мечникова, дом 16, литер А",2015-02-11,78А01 № 0000092,78А01 № 0000146,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802497601,7804137738
148,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 172 Калининского района Санкт-Петербурга,"195274, Санкт-Петербург, улица Демьяна Бедного, дом 12, корпус 2, литер А",2013-03-15,78А01 № 0000254,78А01 № 0000331,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2138-р, 30.04.2015",,1027802499944,7804137953
149,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 175 Калининского района Санкт-Петербурга,"195299, Санкт-Петербург, проспект Просвещения, дом 106, корпус 2, литера А",2013-03-15,78А01 № 0000519,78А01 № 0000526,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,"872-р, 07.03.2014",,1027802499328,7804134977
150,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 176 Калининского района,"195267, Санкт-Петербург, ул.Ушинского, д.13, литер А",2013-03-15,78А01 № 0000371,78А01 № 0000443,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3517-р, 17.07.2015",,1027802496765,7804139189
151,Государственное бюджетное общеобразовательное учреждение лицей № 179 Калининского района Санкт-Петербурга,"195267, Санкт-Петербург, ул. Ушинского, дом 35, корп. 2, литер А",2014-02-17,78А01 № 0000434,78А01 № 0000441,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802497337,7804148916
152,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 184 Калининского района Санкт-Петербурга,"195273, Санкт-Петербург, улица Верности дом 38, корпус 4,лит. А",2012-02-17,78А01 № 0000862,78А01 № 0000872,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2419-р, 15.05.2015; 776-р, 16.03.2018",,1027802499295,7804139566
153,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 186 Калининского района Санкт-Петербурга,"195220, Санкт-Петербург, ул. Замшина, дом 58, корпус 2, литер А",2012-02-17,78А01 № 0000320,78А01 № 0000391,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2941-р, 17.06.2015",,1027802497557,7804139855
154,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 119 с углубленным изучением английского языка Калининского района Санкт-Петербурга,"195276, Санкт-Петербург, улица Тимуровская, дом 8, корпус 2, литера А",2011-02-17,78А01 № 0000258,78А01 № 0000315,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"465-р, 17.02.2012; 2219-р, 07.05.2015",,1027802497282,7804139848
155,Государственное бюджетное общеобразовательное учреждение лицей № 470 Калининского района Санкт-Петербурга,"195220, Санкт-Петербург, ул. Бутлерова, дом 22, литер А",2015-02-11,78А01 № 0000086,78А01 № 0000140,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802497304,7804139157
156,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 514 Калининского района Санкт-Петербурга,"195220, Санкт-Петербург, проспект Непокоренных, дом12/2, литер А",2013-03-15,78А01 № 0000792,78А01 № 0000800,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"469-р, 17.02.2014; 3879-р, 28.12.2016",,1027802499163,7804135868
157,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 535 Калининского района Санкт-Петербурга,"195252, Санкт-Петербург, улица Софьи Ковалевской, дом 13, корпус 6, литера А",2012-03-14,78А01 № 0000268,78А01 № 0000332,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2245-р, 12.05.2015",,1027802500725,7804090575
158,Государственное бюджетное общеобразовательное учреждение школа № 561 Калининского района Санкт-Петербурга,"195252, Санкт-Петербург, улица Карпинского, дом 38, корпус 8, литер А",2013-05-27,78А01 № 0000016,78А01 № 0000042,Бессрочно,Начальное общее образование; Основное общее образование,"4289-р, 29.09.2014",,1027802499196,7804130820
159,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 191 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,"195298. Санкт-Петербург, улица Белорусская, дом 26, корпус 2, литер А",2013-01-16,78А01 № 0000269,78А01 № 0000331,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"897-р, 07.03.2014; 2242-р, 12.05.2015",,1037816031032,7806059267
160,Государственное бюджетное общеобразовательное учреждение Центр образования № 633 Калининского района Санкт-Петербурга,"195256, Санкт-Петербург, проспект Науки, дом 24, корпус 3, литер А",2014-02-17,78А01 № 0000443,78А01 № 0000450,Бессрочно,Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802497546,7804067174
161,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 653 с углубленным изучением иностранных языков (хинди и английского) Калининского района Санкт-Петербурга имени Рабиндраната Тагора,"195271, Санкт-Петербург, проспект Мечникова, дом 5, корпус 1, литер А",2013-03-15,78А01 № 0000476,78А01 № 0000551,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4880-р, 07.10.2015",,1027802497447,7804093336
162,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 692 Калининского района Санкт-Петербурга,"195274, Санкт-Петербург, улица Демьяна Бедного, дом 6, корпус 2, литера А",2015-02-11,78А01 № 0000094,78А01 № 0000148,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802498877,7804151355
163,Государственное бюджетное общеобразовательное учреждение школа - интернат № 2 Кировского района Санкт-Петербурга,"1982016, Санкт-Петербург, Трамввйный пр. Д.24, литер А",2013-05-27,78А01 № 0000209,78А01 № 0000262,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1513-р, 08.04.2015",,1027802738413,7805146750
164,Государственное бюджетное общеобразовательное учреждение центр образования № 162 Кировского района Санкт-Петербурга,"198097, Санкт-Петербург, ул. Турбинная, долм 50, литер А",2014-02-17,78А01 № 0000433,78А01 № 0000440,Бессрочно,Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802739447,7804028048
165,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 221 Кировского района Санкт-Петербурга,"198262, Санкт-Петербург, ул.Лени Голикова, дом 15, корп. 2, литер А",2011-02-17,78А01 № 0000664,78А01 № 0000644,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"815-р, 28.03.2012; 5670-р, 30.11.2015",,1027802757608,7805149180
166,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 223 с углубленным изучением немецкого языка Кировского района Санкт-Петербурга,"198260, Санкт-Петербрг, улица Стойкости, дом 17, корпус 2, литер А",2013-01-16,78А01 № 0000504,78А01 № 0000583,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5094-р, 20.10.2015",,1027802739997,7805149207
167,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 240 Кировского района Санкт-Петербурга,"198261, Санкт-Петербург, улица Бурцева, дом 12, литер А",2012-03-14,78А01 № 0000369,78А01 № 0000441,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3480-р, 14.07.2015",,1027802740459,7805149214
168,Государственное бюджетное общеобразовательное учреждение Лицей № 244 Кировского района Санкт-Петербурга,"198260, Санкт-Петербург, проспект Ветеранов, дом 80, литер А",2011-03-14,78А01 № 0000793,78А01 № 0000801,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3895-р, 28.12.2016",,1027802751822,7805149221
169,Государственное бюджетное общеобразовательное учреждение Гимназия № 248 Кировского района Санкт-Петербурга,"198215, Санкт-Петербург, проспект Народного Ополчения, дом 103, литер А",2015-02-11,78А01 № 0000076,78А01 № 0000130,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802740570,7805011569
170,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 249 имени М.В. Маневича Кировского района Санкт-Петербурга,"198255, Санкт-Петербург, проспект Ветеранов, дом 57, литер А",2011-02-17,78А01 № 0000245,78А01 № 0000301,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2031-р, 27.04.2015",,1027802725610,7805093057
171,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 250 Кировского района Санкт-Петербурга,"198260, Санкт-Петербург, ул. Козлова, дом 37, корп. 1, литер А",2013-01-16,78А01 № 0000365,78А01 № 0000437,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3482-р, 14.07.2015",,1027802740635,7805149239
172,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 254 с углубленным изучением английского языка Кировского района,"198261, Санкт-Петербург, ул. Бурцева, дом 9, литер А",2014-03-03,78А01 № 0000455,78А01 № 0000462,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802726050,7805149253
173,Государственное бюджетное общеобразовательное учреждение Гимназия № 261 Кировского района Санкт-Петербурга,"198302, Санкт-Петербург, проспект Стачек, дом 103, корпус 2, литер А",2014-03-03,78А01 № 0000456,78А01 № 0000463,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037811001062,7805146742
174,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 264 Кировского района Санкт-Петербурга,"198302, Санкт-Петербург, улица Маршала Казакова, дом 3, корпус 2, литер А",2012-03-14,78А01 № 0000797,78А01 № 0000805,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3898-р, 28.12.2016",,1037811059494,7805011953
175,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 269 Кировского района Санкт-Петербурга ""Школа здоровья""","198216, Санкт-Петербург, Трамвайный проспект, дом 22, лит.А",2013-01-16,78А01 № 0000074,78А01 № 0000128,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"476-р, 11.02.2015",,1027802734926,7805149260
176,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 274 с углубленным изучением иностранных языков Кировского района Санкт-Петербурга,"198215, Санкт-Петербург, улица Дачный проспект, дом 34, корпус 2, литер А",2011-03-14,78А01 № 0000246,78А01 № 0000303,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2133-р, 30.04.2015",,1027802742747,7805149285
177,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 277 Кировского района Санкт-Петербурга,"198215, Санкт-Петербург, проспект Ветеранов, дом 14, литер А",2013-01-16,78А01 № 0000651,78А01 № 0000631,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5578-р, 25.11.2015",,1027802735993,7805149292
178,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 282 с углубленным изучением французского языка Кировского района Санкт-Петербурга,"198217, Санкт-Петербург,бульвар Новаторов, дом 104, литер А",2011-02-17,78А01 № 0000716,78А01 № 0000703,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"461-р, 17.02.2012; 511-р, 24.02.2016",,1027802730603,7805149302
179,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 283 Кировского района Санкт-Петербурга,"198261, Санкт-Петербург, улица Стойкости, дом 33, лит.А",2013-01-16,78А01 № 0000798,78А01 № 0000806,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3900-р, 28.12.2016",,1027802739470,7805149310
180,Государственное бюджетное общеобразовательное учреждение гимназия № 284 Кировского района Санкт-Петербурга,"198217, Санкт-Петербург, проспект Народного Ополчения, дом 135, литер А",2015-02-11,78А01 № 0000077,78А01 № 0000131,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1037811038682,7805149327
181,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 377 Кировского района Санкт-Петербурга,"198303, Санкт-Петербург, проспект Стачек, дом 107, корпус 4, лит. А",2011-02-17,78А01 № 0000244,78А01 № 0000300,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2032-р, 27.04.2015",,1027802730614,7805149334
182,Государственное бюджетное общеобразовательное учреждение лицей № 378 Кировского района Санкт-Петербурга,"198261, Санкт-Петербург, проспект Ветеранов, дом 114, литер А",2014-03-03,78А01 № 0000458,78А01 № 0000465,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037811024349,7805149341
183,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 379 Кировского района Санкт-Петербурга,"198184, Санкт-Петербург, Канонерский остров, дом 32, литер Б",2013-01-16,78А01 № 0000446,78А01 № 0000519,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4704-р, 21.09.2015",,1027802738985,7805009961
184,Государственное бюджетное общеобразовательное учреждение средняя общебразовательная школа № 381 Кировского района Санкт-Петербурга,"198095, Санкт-Петербург, ул.Зои Космодемьянской, дом 4 лит. А",2011-02-17,78А01 № 0000322,78А01 № 0000393,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"815-р, 28.03.2012; 2939-р, 17.06.2015",,1027802728018,7805149359
185,Государственное бюджетное общеобразовательное учреждение лицей № 384 Кировского района Санкт–Петербурга,"198095, Санкт-Петербург, проспект Стачек, дом 5, литер А",2014-03-03,78А01 № 0000459,78А01 № 0000586,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027802741185,7805146774
186,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 386 Кировского района Санкт-Петербурга,"198152, Санкт-Петербург, улица Зайцева, дом 14, литер А",2013-01-16,78А01 № 0000159,78А01 № 0000210,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1060-р, 16.03.2015",,1037811007893,7805149366
187,Государственное бюджетное общеобразовательное учреждение Лицей № 387 имени Н.В.Белоусова Кировского района Санкт-Петербурга,"198207, Санкт-Петербург, ул.Зины Портновой, д.25, корп. 2, литер А",2014-03-03,78А01 № 0000213,78А01 № 0000266,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1611-р, 13.04.2015",,1027802738590,7805146799
188,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 388 Кировского района Санкт-Петербурга,"198097, Санкт-Петербург, Огородный пер., дом 9, лит.А",2013-01-16,78А01 № 0000662,78А01 № 0000642,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5668-р, 30.11.2015",,1027802749248,7805149373
