№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
805,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 428 Приморского района Санкт-Петербурга,"197229, город Санкт-Петербург, проспект Юнтоловский, длм 51, корпус 6 стр. 1",2020-01-14,78А01 № 0001031,78А01 № 0001060,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,1667-р; 02.06.2021,,1187847074843,7814723682
806,"Государстенное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 691 с углубленным изучением иностранных языков Невского района Санкт-Петербурга ""Невская школа""","193318, город Санкт-Петербург, проспект Союзный дом 5, строение 1, корпус 2",2020-01-14,78А01 № 0000976,78А01 № 0001003,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1177847346973,7811668627
807,Государственное бюджетное общеобразовательное учреждение школа № 54 Красносельского района Санкт-Петербурга,"198332, город Санкт-Петербург, улица Маршала Казакова дом 60, корпус 2",2020-01-14,78А01 № 0000975,78А01 № 0001002,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1157847167840,7807079820
808,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 492 Фрунзенского района Санкт-Петербурга,"192288, город Санкт-Петербург, улица Димитрова дом 39, корпус 4 строение 1",2020-01-14,78А01 № 0000973,78А01 № 0001000,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1187847210935,7816677880
809,"Автономная некоммерческая организация ""Общеобразовательная организация ""БАЛТИКА-КОЛЛЕДЖ имени маршала Говорова Л. А""","Город Санкт-Петербург, внутригородская территория внутригородское муниципальное образование) города федерального значения муниципальный окргу Литиейный округ, ул. Маяковского, дом 37 литера В",2021-01-22,78А01 № 0001077,78А01 № 0001112,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1684-р, 26.08.2022",,1157800002414,7841023584
810,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 632 Приморского района Санкт-Петербурга,"197375, город Санкт-Петербург, шоссе Суздальское, дом 28, корпус 3, строение 1",2021-02-24,78А01 № 0001056,78А01 № 0001085,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3394-р, 22.12.2021",,1197847080562,7802688401
811,"Государственное бюджетное общеобразовательное учреждение ""Инженерно-технологическая школа № 777"" Санкт-Петербурга","197345, город Санкт-Петербург, переулок Лыжный, дом 4 корпус 2 строение 1",2021-02-24,78А01 № 0001102,78А01 № 0001155,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2695-р, 27.12.2022",,1177847375639,7814712962
812,"Автономная некоммерческая образовательная организация ""Царскосельская гимназия""","196601, город Санкт-Петербург, город Пушкин улица Средняя дом 32А квартира 2",2021-06-11,78А01 № 0001040,78А01 № 0001069,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1147800005077,7820290469
813,"Частное учреждение образовательная организация центр образования ""АСПЕКТ""","191186, город Санкт-Петербург, набережная канала Грибоедова, 5, 201",2021-06-26,78А01 № 0001020,78А01 № 0001048,Бессрочно,Начальное общее образование,,,1037843019609,7825453332
814,Государственное бюджетное общеобразовательное учреждение общеобразовательная школа № 220 Калининского района Санкт-Петербурга,195271 город Санкт-Петербург улица Бестужевская дом 3 корпус 4,2021-06-11,78А01 № 0001038,78А01 № 0001067,Бессрочно,Начальное общее образование,,,1177847375562,7804610400
815,"Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа № 99 ""СТАРТ"" Петроградского района Санкт-Петербурга","197110, город Санкт-Петербург, улица Депутатская, дом 6, литер А",2021-06-11,78А01 № 0001039,78А01 № 0001068,Бессрочно,Начальное общее образование,,,1177847315106,7813288300
816,"Частное общеобразовательное учреждение Авторская школа ""Горный""","199226, город Санкт-Петербург, улица нахимова, дом 15 литер Ж",2021-06-02,78А01 № 0001033,78А01 № 0001062,Бессрочно,Начальное общее образование,,,1167800052584,7801310279
817,"Частное общеобразовательное учреждение ""Первая частная Шуваловская гимназия""","Город Санкт-Петербург, внутригородская территория (внутригородское муниципальное образование) города федерального значения муниципальный округ Коломяги, улица Афонская, дом 5 литера А, помещ. 2-н, кабинеты 63-75",2022-12-22,78А01 № 0001108,78А01 № 0001166,Бессрочно,Начальное общее образование,"173-р, 01.03.2023",,1197800002817,7802692239
