Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
16.003,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Пушкин, Сапёрная улица, дом 42, корпус 1, литера А",,"59.7017574925737,30.38416799636325",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
16.004,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Пушкин, улица Генерала Хазова, дом 34, литера А",,"59.73964140571164,30.41682509026144",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
16.005,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Пушкин, Железнодорожная улица, дом 56в, литера А",,"59.73395,30.4191167",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
16.006,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Пушкин, бульвар Алексея Толстого, дом 20, литера А",,"59.73054,30.4169142",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
16.007,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"посёлок Шушары, Школьная улица, дом 22, литера А",,"59.810156,30.3752382",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
16.008,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Павловск, Садовая улица, дом 20, литера Б",,"59.6899017,30.4452887",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,12.00 - 20.00,День,Открытый,Бесплатно,Частично доступен,True,True,True,True,True,,Имеется
16.009,МО Шушары,"Хоккей, катание на коньках",Каток,"посёлок Шушары, территория Ленсоветовский, дом 11, литера А",,"59.759200297107405,30.47137251044895",М. Купчино,Пушкинский,8 (812) 438-59-58,Https://мошушары.рф/,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Имеется
16.010,МО Шушары,"Хоккей, катание на коньках",Каток,"посёлок Шушары, Пулковское, дом 33, литера А",,"59.75961685717517,30.365802813154385",М. Московская,Пушкинский,8 (812) 438-59-58,Http://мошушары.рф/ https://vk.com/mamo_shushary,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Отсутствует
16.011,МО Шушары,"Хоккей, катание на коньках",Каток,"посёлок Шушары, территория Детскосельский, Колпинское шоссе, дом 55, литера А",,"59.72878826283449,30.469223633986964",М. Купчино,Пушкинский,8 (812) 438-59-58,Http://мошушары.рф/,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Имеется
16.012,МО Павловск,"Хоккей, катание на коньках",Каток,"город Павловск, Берёзовая улица, дом 25, литера А",,"59.68678222989538,30.42693759798768",М. Купчино,Пушкинский,8 (812) 465-14-66,Http://mo-pavlovsk.ru/,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Отсутствует
