№ автостоянки,Адрес,Тип автостоянки,Количество машиномест,"Площадь участка, м2",Район города,Ближайшая станция метро,Условия использования,Координаты
50,"Санкт-Петербург, Саперный переулок (от ул. Маяковского до ул. Радищева)",Зона платной парковки,88,1166,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1108. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.94094,30.360015"
51,"Санкт-Петербург, Солдатский переулок (от ул. Восстания до ул. Радищева)",Зона платной парковки,12,159,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1116. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.93658,30.361748"
52,"Санкт-Петербург,  ул. Белинского (от наб.р. Фонтанки до Литейного пр.)",Зона платной парковки,47,622.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1113. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.938227,30.346218"
53,"Санкт-Петербург, улица Восстания (от пл. Восстания до Кирочной ул.)",Зона платной парковки,233,3087.25,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1125. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.933298,30.360069"
54,"Санкт-Петербург, улица Жуковского (от Литейного пр. до Лиговского пр.)",Зона платной парковки,154,2040.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1117. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.935877,30.356189"
55,"Санкт-Петербург, улица Короленко (от ул. Некрасова до Преображенской пл.)",Зона платной парковки,75,993.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1122. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.941019,30.350367"
56,"Санкт-Петербург, улица Маяковского (от Невского пр. до Кирочного пр.)",Зона платной парковки,310,4107.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1124. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории ""А"" и ""М"" - 30 руб./час, Категория ""В"" - 60 руб./час, Категория ""С"" - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.93807,30.355186"
57,"Санкт-Петербург, улица Некрасова (от Литейного пр. до Лиговского пр.)",Зона платной парковки,143,1894.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1112. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории ""А"" и ""М"" - 30 руб./час, Категория ""В"" - 60 руб./час, Категория ""С"" - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.938777,30.359102"
58,"Санкт-Петербург, улица Пестеля (от наб.р. Фонтанки до Преображенской пл.)",Зона платной парковки,67,887.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1101. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.942694,30.344788"
59,"Санкт-Петербург, улица Радищева (от ул. Жуковского до Кирочной ул.)",Зона платной парковки,112,1484,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1126. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.938335,30.36327"
60,"Санкт-Петербург, улица Рылеева (от Преображенской пл. до ул. Радищева)",Зона платной парковки,106,1404.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1105. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.9425,30.35635"
61,"Санкт-Петербург, улица Чехова (от ул. Жуковского до ул. Некрасова)",Зона платной парковки,70,927.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1123. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.938,30.352872"
62,"Санкт-Петербург, улица Рубинштейна (от ул. Ломоносова до Невского пр.)",Зона платной парковки,104,750,Центральный,Достоевская / Владимирская / Маяковская,"Зона платной парковки № 8888. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.92965,30.344319"
